_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
262,Agustus,Surabaya Barat,Sambikerep,Puskesmas Lontar,UMUM,301,1523,1824
263,Agustus,Surabaya Barat,Tandes,Puskesmas Made,BATRA,0,26,26
264,Agustus,Surabaya Barat,Tandes,Puskesmas Made,GIGI,33,305,338
265,Agustus,Surabaya Barat,Tandes,Puskesmas Made,GIZI,2,27,29
266,Agustus,Surabaya Barat,Tandes,Puskesmas Made,KIA,86,487,573
267,Agustus,Surabaya Barat,Tandes,Puskesmas Made,LANSIA,12,276,288
268,Agustus,Surabaya Barat,Tandes,Puskesmas Made,PSIKOLOGI,3,14,17
269,Agustus,Surabaya Barat,Tandes,Puskesmas Made,SANITASI,0,1,1
270,Agustus,Surabaya Barat,Tandes,Puskesmas Made,UMUM,174,1260,1434
271,Agustus,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,BATRA,0,76,76
272,Agustus,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIGI,79,449,528
273,Agustus,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIZI,8,15,23
274,Agustus,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,INSTALASI GAWAT DARURAT,39,55,94
275,Agustus,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,KIA,241,1206,1447
276,Agustus,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,LANSIA,36,1307,1343
277,Agustus,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PSIKOLOGI,3,24,27
278,Agustus,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PTRM,0,44,44
279,Agustus,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,RAWAT INAP,3,27,30
